ticker	comment	price_24h	price_48h	price_1w	price_2w	price_3w	price_1m	price_2m	price_3m	price_6m	price_1y	price_2y	price_3y	price_4y	price_5y
AGLX	The short-term (1-month) outlook for AGLX is mildly bearish (-2.8% vs current price of 20.30). At 6 months the model targets 17.71 (-12.8%), a strongly bearish medium-term signal. The 1-year forecast stands at 17.74 (-12.6%). Over a 5-year horizon the model projects 10.46 (cumulative -48.5%).	20.7662	20.9739	20.7907	21.1562	20.7314	19.7243	20.8309	18.1805	17.7071	17.737	16.9366	17.4173	11.2723	10.4618
AKBM	The short-term (1-month) outlook for AKBM is strongly bullish (+11.3% vs current price of 101.00). At 6 months the model targets 129.17 (+27.9%), a strongly bullish medium-term signal. The 1-year forecast stands at 176.09 (+74.3%). Over a 5-year horizon the model projects 171.56 (cumulative +69.9%).	101.576	101.9286	100.8044	104.9003	104.9748	112.3795	119.2015	121.0783	129.1684	176.0872	308.4296	338.755	162.5476	171.5631
2020	The short-term (1-month) outlook for 2020 is bullish (+5.0% vs current price of 130.70). At 6 months the model targets 207.20 (+58.5%), a strongly bullish medium-term signal. The 1-year forecast stands at 186.33 (+42.6%). Over a 5-year horizon the model projects 233.41 (cumulative +78.6%).	130.9933	131.0426	131.9329	132.7493	133.4103	137.2792	143.6358	150.7053	207.2029	186.3301	190.8767	144.298	203.8704	233.4079
ABG	The short-term (1-month) outlook for ABG is mildly bullish (+1.4% vs current price of 7.19). At 6 months the model targets 6.91 (-3.9%), a bearish medium-term signal. The 1-year forecast stands at 7.78 (+8.2%). Over a 5-year horizon the model projects 11.57 (cumulative +60.9%).	7.1968	7.2448	7.2151	7.1741	7.2924	7.2942	7.2472	7.1016	6.9074	7.7777	6.2384	11.5361	16.4371	11.5696
AFG	The short-term (1-month) outlook for AFG is bullish (+8.5% vs current price of 170.80). At 6 months the model targets 205.73 (+20.5%), a strongly bullish medium-term signal. The 1-year forecast stands at 207.08 (+21.2%). Over a 5-year horizon the model projects 203.45 (cumulative +19.1%).	170.8647	172.2019	174.9158	179.6507	183.1273	185.3137	193.985	199.1119	205.7289	207.0838	204.8431	174.8099	169.5179	203.4494
AKER	The short-term (1-month) outlook for AKER is bullish (+5.8% vs current price of 1032.00). At 6 months the model targets 1106.38 (+7.2%), a bullish medium-term signal. The 1-year forecast stands at 909.17 (-11.9%). Over a 5-year horizon the model projects 1396.85 (cumulative +35.4%).	1033.0447	1033.8704	1042.3316	1070.5447	1088.7475	1092.1574	1095.4834	1096.2486	1106.3772	909.1707	633.4888	1380.7693	1647.4381	1396.8533
ABL	The short-term (1-month) outlook for ABL is mildly bearish (-0.9% vs current price of 10.90). At 6 months the model targets 13.36 (+22.6%), a strongly bullish medium-term signal. The 1-year forecast stands at 11.99 (+10.0%). Over a 5-year horizon the model projects 59.65 (cumulative +447.2%).	10.9241	10.9521	10.9562	10.9336	10.765	10.7968	11.0227	11.4695	13.3634	11.9911	9.9293	20.6339	40.1677	59.6488
AKAST	The short-term (1-month) outlook for AKAST is mildly bearish (-2.7% vs current price of 14.42). At 6 months the model targets 14.26 (-1.1%), a mildly bearish medium-term signal. The 1-year forecast stands at 12.45 (-13.7%). Over a 5-year horizon the model projects 7.45 (cumulative -48.3%).	14.4379	14.4034	14.3349	14.0696	14.0545	14.0311	13.2353	13.2946	14.2562	12.4504	9.6791	7.4277	4.7209	7.4496
APR	The short-term (1-month) outlook for APR is bearish (-10.0% vs current price of 72.80). At 6 months the model targets 72.80 (-0.0%), a sideways medium-term signal. The 1-year forecast stands at 72.80 (-0.0%). Over a 5-year horizon the model projects 72.80 (cumulative -0.0%).	72.6086	72.3469	70.9265	69.1154	66.7807	65.552	62.6546	72.8	72.8	72.8	72.8	72.8	72.8	72.8
AKH	The short-term (1-month) outlook for AKH is strongly bearish (-46.0% vs current price of 0.01). At 6 months the model targets 0.00 (-93.7%), a strongly bearish medium-term signal. The 1-year forecast stands at 0.01 (-42.9%). Over a 5-year horizon the model projects 0.01 (cumulative -0.0%).	0.0127	0.0127	0.0119	0.0083	0.0047	0.0068	0.0029	0.0015	0.0008	0.0072	0.0015	0.0014	0.0	0.0126
AKRBP	The short-term (1-month) outlook for AKRBP is mildly bullish (+1.0% vs current price of 347.50). At 6 months the model targets 416.14 (+19.8%), a strongly bullish medium-term signal. The 1-year forecast stands at 368.78 (+6.1%). Over a 5-year horizon the model projects 607.28 (cumulative +74.8%).	348.5991	347.9357	353.944	347.4076	355.4039	350.8633	326.5606	324.6444	416.1355	368.7774	366.9675	339.091	476.2387	607.2794
AKSO	The short-term (1-month) outlook for AKSO is mildly bearish (-2.6% vs current price of 40.16). At 6 months the model targets 46.81 (+16.6%), a strongly bullish medium-term signal. The 1-year forecast stands at 55.66 (+38.6%). Over a 5-year horizon the model projects 66.36 (cumulative +65.2%).	40.378	40.433	40.1861	39.9639	40.1362	39.1297	39.2828	42.9053	46.8091	55.6598	64.7805	90.2603	55.3441	66.3605
AKVA	The short-term (1-month) outlook for AKVA is strongly bearish (-10.6% vs current price of 130.00). At 6 months the model targets 120.08 (-7.6%), a bearish medium-term signal. The 1-year forecast stands at 104.34 (-19.7%). Over a 5-year horizon the model projects 123.93 (cumulative -4.7%).	130.224	127.8158	125.5003	120.7625	114.4368	116.1667	122.6352	122.3737	120.0837	104.343	77.1456	85.5518	95.6333	123.9272
AFK	The short-term (1-month) outlook for AFK is bullish (+9.8% vs current price of 187.00). At 6 months the model targets 261.68 (+39.9%), a strongly bullish medium-term signal. The 1-year forecast stands at 289.90 (+55.0%). Over a 5-year horizon the model projects 348.50 (cumulative +86.4%).	187.0362	190.7653	193.7173	198.0069	205.6392	205.377	233.5117	248.3053	261.684	289.8993	275.5145	329.0011	520.6962	348.4954
AZT	The short-term (1-month) outlook for AZT is bearish (-8.1% vs current price of 19.80). At 6 months the model targets 17.97 (-9.3%), a bearish medium-term signal. The 1-year forecast stands at 17.30 (-12.6%). Over a 5-year horizon the model projects 157.95 (cumulative +697.8%).	19.8934	19.6913	19.4576	19.1701	18.7063	18.2029	17.795	17.2439	17.9656	17.2993	12.6319	17.8406	18.2873	157.9546
