ticker	comment	price_24h	price_48h	price_1w	price_2w	price_3w	price_1m	price_2m	price_3m	price_6m	price_1y	price_2y	price_3y	price_4y	price_5y
AKBM	The short-term (1-month) outlook for AKBM is bearish (-5.9% vs current price of 101.00). At 6 months the model targets 127.64 (+26.4%), a strongly bullish medium-term signal. The 1-year forecast stands at 141.23 (+39.8%). Over a 5-year horizon the model projects 324.23 (cumulative +221.0%).	97.9412	97.6165	95.851	92.3388	91.3524	95.0358	96.5304	118.5832	127.6398	141.2287	183.3017	231.148	282.2724	324.2263
AGLX	The short-term (1-month) outlook for AGLX is strongly bearish (-34.8% vs current price of 20.30). At 6 months the model targets 9.14 (-55.0%), a strongly bearish medium-term signal. The 1-year forecast stands at 2.89 (-85.8%). Over a 5-year horizon the model projects 0.00 (cumulative -100.0%).	14.3886	14.2373	14.0718	13.5284	13.2063	13.2258	13.294	11.9641	9.1357	2.8911	0.0	0.0	0.0	0.0
ABG	The short-term (1-month) outlook for ABG is bullish (+4.2% vs current price of 7.19). At 6 months the model targets 7.93 (+10.3%), a strongly bullish medium-term signal. The 1-year forecast stands at 8.53 (+18.7%). Over a 5-year horizon the model projects 13.46 (cumulative +87.3%).	7.3875	7.3716	7.3708	7.3499	7.3853	7.4894	7.4455	7.7839	7.9274	8.5326	9.6577	10.7956	12.0025	13.4647
2020	The short-term (1-month) outlook for 2020 is bullish (+4.7% vs current price of 130.70). At 6 months the model targets 155.70 (+19.1%), a strongly bullish medium-term signal. The 1-year forecast stands at 139.62 (+6.8%). Over a 5-year horizon the model projects 213.81 (cumulative +63.6%).	131.9128	132.5219	134.2961	136.1558	136.692	136.8819	136.3222	140.1117	155.7013	139.6226	155.7703	174.0354	193.5953	213.8092
AFG	The short-term (1-month) outlook for AFG is bullish (+9.3% vs current price of 170.80). At 6 months the model targets 190.74 (+11.7%), a strongly bullish medium-term signal. The 1-year forecast stands at 213.65 (+25.1%). Over a 5-year horizon the model projects 359.89 (cumulative +110.7%).	186.3518	186.5278	187.5176	187.8526	187.2003	186.6889	185.9443	190.2767	190.7428	213.646	243.4263	277.4447	318.7273	359.892
APR	The short-term (1-month) outlook for APR is strongly bearish (-74.2% vs current price of 72.80). At 6 months the model targets 124.27 (+70.7%), a strongly bullish medium-term signal. The 1-year forecast stands at 64.02 (-12.1%). Over a 5-year horizon the model projects 42.29 (cumulative -41.9%).	61.5155	56.8034	40.5585	0.0	0.0	18.7949	41.4717	115.4563	124.2748	64.0186	50.0882	47.4001	44.1459	42.2935
AKER	The short-term (1-month) outlook for AKER is strongly bearish (-15.9% vs current price of 1032.00). At 6 months the model targets 894.89 (-13.3%), a strongly bearish medium-term signal. The 1-year forecast stands at 1109.81 (+7.5%). Over a 5-year horizon the model projects 1870.25 (cumulative +81.2%).	867.6222	865.8314	855.0015	838.466	841.4036	868.3657	866.2819	864.3834	894.8939	1109.808	1304.8671	1504.2716	1702.7631	1870.2505
AKAST	The short-term (1-month) outlook for AKAST is strongly bearish (-18.3% vs current price of 14.42). At 6 months the model targets 11.43 (-20.7%), a strongly bearish medium-term signal. The 1-year forecast stands at 11.51 (-20.2%). Over a 5-year horizon the model projects 11.07 (cumulative -23.3%).	11.5988	11.612	11.6425	11.6484	11.6808	11.7866	12.0594	12.0444	11.4281	11.5089	11.4296	11.1904	11.1541	11.0663
ABL	The short-term (1-month) outlook for ABL is strongly bearish (-14.1% vs current price of 10.90). At 6 months the model targets 8.27 (-24.1%), a strongly bearish medium-term signal. The 1-year forecast stands at 9.54 (-12.5%). Over a 5-year horizon the model projects 8.59 (cumulative -21.2%).	9.4664	9.442	9.3901	9.2643	9.2363	9.3627	9.2995	9.3192	8.2723	9.5426	9.3656	9.0484	8.7031	8.5879
AKRBP	The short-term (1-month) outlook for AKRBP is strongly bearish (-14.2% vs current price of 347.50). At 6 months the model targets 288.57 (-17.0%), a strongly bearish medium-term signal. The 1-year forecast stands at 347.05 (-0.1%). Over a 5-year horizon the model projects 490.86 (cumulative +41.3%).	290.7174	290.4179	288.4774	287.3376	290.2614	298.1786	298.2316	286.4344	288.5698	347.0474	386.6588	420.7777	459.2933	490.8557
AKH	The short-term (1-month) outlook for AKH is strongly bearish (-100.0% vs current price of 0.01). At 6 months the model targets 0.00 (-100.0%), a strongly bearish medium-term signal. The 1-year forecast stands at 0.00 (-100.0%). Over a 5-year horizon the model projects 0.00 (cumulative -100.0%).	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKSO	The short-term (1-month) outlook for AKSO is strongly bearish (-30.1% vs current price of 40.16). At 6 months the model targets 27.00 (-32.8%), a strongly bearish medium-term signal. The 1-year forecast stands at 27.57 (-31.3%). Over a 5-year horizon the model projects 23.19 (cumulative -42.3%).	27.8516	27.856	27.706	27.4817	27.5938	28.0798	27.0915	28.1962	27.0	27.5714	26.408	25.0682	24.1248	23.1856
ARR	The short-term (1-month) outlook for ARR is strongly bearish (-91.0% vs current price of 7.22). At 6 months the model targets 0.00 (-100.0%), a strongly bearish medium-term signal. The 1-year forecast stands at 0.00 (-100.0%). Over a 5-year horizon the model projects 0.11 (cumulative -98.5%).	0.0135	0.0	0.0471	0.2965	0.5821	0.6484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.108
AKVA	The short-term (1-month) outlook for AKVA is strongly bearish (-18.6% vs current price of 130.00). At 6 months the model targets 116.32 (-10.5%), a strongly bearish medium-term signal. The 1-year forecast stands at 127.73 (-1.7%). Over a 5-year horizon the model projects 213.89 (cumulative +64.5%).	104.2837	104.1221	103.6696	102.496	102.8343	105.7552	109.958	111.6902	116.3183	127.7297	144.7527	165.3313	188.6831	213.8896
AFK	The short-term (1-month) outlook for AFK is strongly bearish (-23.6% vs current price of 187.00). At 6 months the model targets 121.40 (-35.1%), a strongly bearish medium-term signal. The 1-year forecast stands at 140.41 (-24.9%). Over a 5-year horizon the model projects 100.47 (cumulative -46.3%).	146.6594	146.3292	144.5869	141.5579	141.06	142.9395	133.8966	134.745	121.3953	140.4137	127.2638	119.0846	112.0951	100.4711
AZT	The short-term (1-month) outlook for AZT is bullish (+8.9% vs current price of 19.80). At 6 months the model targets 22.55 (+13.9%), a strongly bullish medium-term signal. The 1-year forecast stands at 20.99 (+6.0%). Over a 5-year horizon the model projects 23.83 (cumulative +20.3%).	21.9189	22.0189	22.362	22.4545	22.0633	21.5534	23.1515	24.4864	22.5503	20.9946	21.4171	22.3882	22.9944	23.8263
ARCH	The short-term (1-month) outlook for ARCH is bearish (-6.6% vs current price of 27.45). At 6 months the model targets 23.51 (-14.4%), a strongly bearish medium-term signal. The 1-year forecast stands at 24.13 (-12.1%). Over a 5-year horizon the model projects 23.89 (cumulative -13.0%).	24.4536	24.3427	24.4122	24.7527	25.2662	25.6449	22.4542	23.3739	23.509	24.1292	24.578	25.489	24.5875	23.8904
ASA	The short-term (1-month) outlook for ASA is strongly bearish (-100.0% vs current price of 3.15). At 6 months the model targets 0.00 (-100.0%), a strongly bearish medium-term signal. The 1-year forecast stands at 0.00 (-100.0%). Over a 5-year horizon the model projects 0.00 (cumulative -100.0%).	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AURG	The short-term (1-month) outlook for AURG is bearish (-3.4% vs current price of 255.05). At 6 months the model targets 254.28 (-0.3%), a sideways medium-term signal. The 1-year forecast stands at 278.04 (+9.0%). Over a 5-year horizon the model projects 385.36 (cumulative +51.1%).	247.2743	247.2753	246.9138	246.43	246.5077	246.2757	248.019	252.7109	254.2777	278.0401	304.7645	330.7161	359.3971	385.3628
AUTO	The short-term (1-month) outlook for AUTO is strongly bearish (-18.8% vs current price of 11.79). At 6 months the model targets 14.63 (+24.1%), a strongly bullish medium-term signal. The 1-year forecast stands at 14.94 (+26.7%). Over a 5-year horizon the model projects 36.64 (cumulative +210.8%).	9.7121	9.6602	9.4459	9.0402	8.9262	9.5677	10.2158	11.485	14.6315	14.9433	20.4983	25.4784	30.8257	36.6377
ATEA	The short-term (1-month) outlook for ATEA is bullish (+9.1% vs current price of 142.60). At 6 months the model targets 151.75 (+6.4%), a bullish medium-term signal. The 1-year forecast stands at 156.87 (+10.0%). Over a 5-year horizon the model projects 203.63 (cumulative +42.8%).	148.2643	148.518	149.1352	150.829	152.7956	155.6396	161.4634	156.4892	151.7469	156.8711	164.5897	176.0288	190.9333	203.6272
ACR	The short-term (1-month) outlook for ACR is strongly bullish (+23.8% vs current price of 6.73). At 6 months the model targets 9.44 (+40.2%), a strongly bullish medium-term signal. The 1-year forecast stands at 10.22 (+51.8%). Over a 5-year horizon the model projects 19.73 (cumulative +193.2%).	8.3273	8.3274	8.3347	8.3093	8.2843	8.3289	8.2641	8.5141	9.435	10.2173	11.7065	13.8329	16.6958	19.7329
BIEN	The short-term (1-month) outlook for BIEN is mildly bullish (+1.3% vs current price of 155.00). At 6 months the model targets 147.00 (-5.2%), a bearish medium-term signal. The 1-year forecast stands at 170.65 (+10.1%). Over a 5-year horizon the model projects 238.91 (cumulative +54.1%).	154.0019	154.4858	155.3737	156.9214	156.954	157.0515	156.6548	155.0917	147.0	170.6476	189.1331	198.1319	209.6985	238.9069
BEWI	The short-term (1-month) outlook for BEWI is bullish (+4.2% vs current price of 13.62). At 6 months the model targets 8.97 (-34.1%), a strongly bearish medium-term signal. The 1-year forecast stands at 4.69 (-65.5%). Over a 5-year horizon the model projects 0.00 (cumulative -100.0%).	13.6813	13.6675	13.5001	13.4184	13.6628	14.1917	11.5984	12.2961	8.9749	4.6941	0.0	0.0	0.0	0.0
AUSS	The short-term (1-month) outlook for AUSS is bullish (+6.1% vs current price of 93.40). At 6 months the model targets 106.30 (+13.8%), a strongly bullish medium-term signal. The 1-year forecast stands at 107.62 (+15.2%). Over a 5-year horizon the model projects 141.84 (cumulative +51.9%).	100.8403	100.9529	101.1618	100.884	100.205	99.0877	95.719	100.588	106.2976	107.6216	115.6975	123.6112	131.3536	141.837
