ticker	comment	price_24h	price_48h	price_1w	price_2w	price_3w	price_1m	price_2m	price_3m	price_6m	price_1y	price_2y	price_3y	price_4y	price_5y
2020	The short-term (1-month) outlook for 2020 is strongly bearish (-33.6% vs current price of 130.70). At 6 months the model targets 97.72 (-25.2%), a strongly bearish medium-term signal. The 1-year forecast stands at 92.56 (-29.2%). Over a 5-year horizon the model projects 103.96 (cumulative -20.5%).	101.471	90.8829	85.693	94.1985	92.2719	86.7225	98.8685	90.892	97.7208	92.5554	75.333	109.0108	85.4863	103.9603
ABG	The short-term (1-month) outlook for ABG is strongly bearish (-52.8% vs current price of 7.19). At 6 months the model targets 4.44 (-38.3%), a strongly bearish medium-term signal. The 1-year forecast stands at 3.98 (-44.6%). Over a 5-year horizon the model projects 4.96 (cumulative -31.0%).	4.5573	3.8054	3.2592	4.0793	3.8492	3.3936	4.5521	3.8247	4.4388	3.9834	2.3336	5.3517	3.3772	4.9643
ABL	The short-term (1-month) outlook for ABL is strongly bearish (-47.3% vs current price of 10.90). At 6 months the model targets 7.05 (-35.4%), a strongly bearish medium-term signal. The 1-year forecast stands at 6.32 (-42.0%). Over a 5-year horizon the model projects 7.71 (cumulative -29.3%).	6.9942	6.2113	5.4893	6.6383	6.1726	5.7394	7.272	6.1705	7.0453	6.3178	4.392	8.2271	5.4182	7.7091
AFG	The short-term (1-month) outlook for AFG is strongly bearish (-31.2% vs current price of 170.80). At 6 months the model targets 134.17 (-21.4%), a strongly bearish medium-term signal. The 1-year forecast stands at 124.56 (-27.1%). Over a 5-year horizon the model projects 139.58 (cumulative -18.3%).	132.3298	121.3025	113.5114	125.1569	123.4387	117.4318	132.8708	122.7032	134.1718	124.5584	101.2631	147.1824	117.3308	139.5822
AGLX	The short-term (1-month) outlook for AGLX is strongly bullish (+40.0% vs current price of 20.30). At 6 months the model targets 24.98 (+23.0%), a strongly bullish medium-term signal. The 1-year forecast stands at 28.15 (+38.7%). Over a 5-year horizon the model projects 23.26 (cumulative +14.6%).	24.9831	27.2025	29.1987	27.9943	25.6282	28.4275	27.4257	28.0165	24.9752	28.148	32.039	23.3483	29.4749	23.2622
AKAST	The short-term (1-month) outlook for AKAST is strongly bearish (-34.2% vs current price of 14.42). At 6 months the model targets 10.80 (-25.1%), a strongly bearish medium-term signal. The 1-year forecast stands at 10.21 (-29.2%). Over a 5-year horizon the model projects 11.51 (cumulative -20.2%).	11.2037	10.0412	9.2781	10.4124	10.1284	9.4933	10.9149	9.9523	10.8001	10.2141	8.1681	12.0089	9.2995	11.507
AKER	The short-term (1-month) outlook for AKER is strongly bearish (-62.2% vs current price of 1032.00). At 6 months the model targets 559.25 (-45.8%), a strongly bearish medium-term signal. The 1-year forecast stands at 494.84 (-52.0%). Over a 5-year horizon the model projects 626.75 (cumulative -39.3%).	578.9102	448.6125	345.0634	496.8358	463.4586	390.0135	581.4608	457.9126	559.2538	494.8448	209.55	685.9647	389.3787	626.7542
AKBM	The short-term (1-month) outlook for AKBM is strongly bearish (-60.4% vs current price of 101.00). At 6 months the model targets 58.48 (-42.1%), a strongly bearish medium-term signal. The 1-year forecast stands at 49.39 (-51.1%). Over a 5-year horizon the model projects 63.79 (cumulative -36.8%).	57.7936	44.5603	34.6252	49.1423	47.1484	39.9645	59.6258	47.0518	58.4782	49.3853	20.6823	72.5829	40.3869	63.7916
AKRBP	The short-term (1-month) outlook for AKRBP is strongly bearish (-56.8% vs current price of 347.50). At 6 months the model targets 190.51 (-45.2%), a strongly bearish medium-term signal. The 1-year forecast stands at 183.74 (-47.1%). Over a 5-year horizon the model projects 217.93 (cumulative -37.3%).	209.1404	173.9785	141.7094	188.1855	169.1914	150.1557	206.2458	167.1886	190.5065	183.7405	101.999	227.4076	144.4774	217.9315
AKH	The short-term (1-month) outlook for AKH is strongly bullish (+197047.6% vs current price of 0.01). At 6 months the model targets 18.30 (+145173.0%), a strongly bullish medium-term signal. The 1-year forecast stands at 22.21 (+176165.9%). Over a 5-year horizon the model projects 14.78 (cumulative +117188.9%).	17.7152	20.6932	25.6257	22.4374	20.2238	24.8406	21.1013	23.3477	18.3044	22.2095	30.699	12.6634	26.0212	14.7784
