ticker	comment	price_24h	price_48h	price_1w	price_2w	price_3w	price_1m	price_2m	price_3m	price_6m	price_1y	price_2y	price_3y	price_4y	price_5y
2020	The short-term (1-month) outlook for 2020 is mildly bullish (+0.8% vs current price of 130.70). At 6 months the model targets 137.60 (+5.3%), a bullish medium-term signal. The 1-year forecast stands at 140.33 (+7.4%). Over a 5-year horizon the model projects 186.48 (cumulative +42.7%).	130.23	130.7233	131.2166	130.7233	130.23	131.7099	133.1898	135.163	137.5977	140.3295	150.6685	161.7692	173.6877	186.4844
ABG	The short-term (1-month) outlook for ABG is mildly bullish (+1.2% vs current price of 7.19). At 6 months the model targets 7.46 (+3.8%), a bullish medium-term signal. The 1-year forecast stands at 7.61 (+5.9%). Over a 5-year horizon the model projects 9.57 (cumulative +33.1%).	7.1863	7.1863	7.1632	7.2093	7.1632	7.2784	7.1863	7.3014	7.4618	7.6131	8.0611	8.5355	9.0377	9.5696
ABL	The short-term (1-month) outlook for ABL is sideways (-0.1% vs current price of 10.90). At 6 months the model targets 11.02 (+1.1%), a mildly bullish medium-term signal. The 1-year forecast stands at 11.93 (+9.4%). Over a 5-year horizon the model projects 17.09 (cumulative +56.8%).	10.9875	11.0212	11.0549	10.819	10.8864	10.8864	10.5494	10.482	11.0156	11.9257	13.0479	14.2757	15.6191	17.0889
AFG	The short-term (1-month) outlook for AFG is mildly bearish (-0.5% vs current price of 170.80). At 6 months the model targets 183.14 (+7.2%), a bullish medium-term signal. The 1-year forecast stands at 199.27 (+16.7%). Over a 5-year horizon the model projects 369.17 (cumulative +116.1%).	170.4288	169.3433	169.3433	167.1722	167.1722	169.8861	168.2578	170.4288	183.1359	199.2667	232.4779	271.2242	316.4283	369.1664
AGLX	The short-term (1-month) outlook for AGLX is mildly bullish (+1.7% vs current price of 20.30). At 6 months the model targets 20.95 (+3.2%), a bullish medium-term signal. The 1-year forecast stands at 20.58 (+1.4%). Over a 5-year horizon the model projects 21.77 (cumulative +7.2%).	20.4458	20.4458	20.3484	20.6405	20.3484	20.6405	20.3484	20.5432	20.9496	20.5849	20.8738	21.1668	21.4638	21.7651
AKAST	The short-term (1-month) outlook for AKAST is mildly bullish (+0.8% vs current price of 14.42). At 6 months the model targets 13.39 (-7.1%), a bearish medium-term signal. The 1-year forecast stands at 14.13 (-2.0%). Over a 5-year horizon the model projects 13.05 (cumulative -9.5%).	14.4466	14.4908	14.4025	14.7117	14.6675	14.535	14.4025	13.6956	13.389	14.134	13.8537	13.5789	13.3096	13.0456
AKER	The short-term (1-month) outlook for AKER is mildly bearish (-2.3% vs current price of 1032.00). At 6 months the model targets 1024.97 (-0.7%), a mildly bearish medium-term signal. The 1-year forecast stands at 1028.68 (-0.3%). Over a 5-year horizon the model projects 1015.53 (cumulative -1.6%).	1032.1726	1036.8535	1025.151	1029.832	1015.7889	1008.7673	985.362	985.362	1024.972	1028.6842	1025.3791	1022.0845	1018.8006	1015.5272
AKBM	The short-term (1-month) outlook for AKBM is mildly bullish (+1.2% vs current price of 101.00). At 6 months the model targets 109.54 (+8.5%), a bullish medium-term signal. The 1-year forecast stands at 112.00 (+10.9%). Over a 5-year horizon the model projects 169.32 (cumulative +67.6%).	101.9665	102.9761	101.2093	101.7141	102.9761	102.2189	109.0335	104.7428	109.5432	111.995	124.1869	137.7061	152.697	169.3198
AKRBP	The short-term (1-month) outlook for AKRBP is mildly bearish (-1.1% vs current price of 347.50). At 6 months the model targets 353.69 (+1.8%), a mildly bullish medium-term signal. The 1-year forecast stands at 420.93 (+21.1%). Over a 5-year horizon the model projects 906.18 (cumulative +160.8%).	347.9632	347.9632	344.5349	345.392	341.1068	343.6779	353.9625	341.1068	353.6867	420.9266	509.8682	617.6031	748.1024	906.1761
AKH	The short-term (1-month) outlook for AKH is bearish (-7.9% vs current price of 0.01). At 6 months the model targets 0.04 (+213.5%), a strongly bullish medium-term signal. The 1-year forecast stands at 0.03 (+146.0%). Over a 5-year horizon the model projects 1.14 (cumulative +8915.1%).	0.0116	0.0116	0.0116	0.0116	0.0116	0.0116	0.0173	0.0231	0.0395	0.031	0.0763	0.1876	0.4617	1.1359
