ticker	comment	price_24h	price_48h	price_1w	price_2w	price_3w	price_1m	price_2m	price_3m	price_6m	price_1y	price_2y	price_3y	price_4y	price_5y
2020	The short-term (1-month) outlook for 2020 is mildly bullish (+0.9% vs current price of 130.70). At 6 months the model targets 136.42 (+4.4%), a bullish medium-term signal. The 1-year forecast stands at 139.24 (+6.5%). Over a 5-year horizon the model projects 200.57 (cumulative +53.5%).	130.3389	130.1526	130.695	130.4599	131.9419	131.91	133.011	133.2596	136.4192	139.242	155.1227	168.9955	184.109	200.5741
ABG	The short-term (1-month) outlook for ABG is mildly bullish (+0.8% vs current price of 7.19). At 6 months the model targets 7.55 (+5.0%), a bullish medium-term signal. The 1-year forecast stands at 7.83 (+8.9%). Over a 5-year horizon the model projects 11.68 (cumulative +62.5%).	7.164	7.1713	7.1676	7.1715	7.2435	7.2482	7.3298	7.3723	7.5477	7.8313	8.7312	9.6215	10.6027	11.6839
ABL	The short-term (1-month) outlook for ABL is mildly bullish (+1.5% vs current price of 10.90). At 6 months the model targets 11.77 (+8.0%), a bullish medium-term signal. The 1-year forecast stands at 12.55 (+15.1%). Over a 5-year horizon the model projects 23.43 (cumulative +115.0%).	10.8598	10.8385	10.8729	10.8017	10.974	11.0589	11.1567	11.2175	11.7671	12.5475	14.8047	17.2538	20.1081	23.4345
AFG	The short-term (1-month) outlook for AFG is mildly bullish (+0.8% vs current price of 170.80). At 6 months the model targets 179.67 (+5.2%), a bullish medium-term signal. The 1-year forecast stands at 185.40 (+8.5%). Over a 5-year horizon the model projects 283.38 (cumulative +65.9%).	170.3116	170.0587	170.3816	170.2033	172.5323	172.231	174.4996	175.2298	179.67	185.3962	209.1407	231.427	256.0881	283.3771
AGLX	The short-term (1-month) outlook for AGLX is sideways (+0.1% vs current price of 20.30). At 6 months the model targets 19.93 (-1.8%), a mildly bearish medium-term signal. The 1-year forecast stands at 20.31 (+0.0%). Over a 5-year horizon the model projects 16.89 (cumulative -16.8%).	20.2862	20.2721	20.2996	20.2923	20.231	20.313	20.2051	20.2094	19.9297	20.3053	18.8588	18.1771	17.52	16.8866
AKAST	The short-term (1-month) outlook for AKAST is mildly bullish (+1.6% vs current price of 14.42). At 6 months the model targets 15.72 (+9.0%), a bullish medium-term signal. The 1-year forecast stands at 16.87 (+17.0%). Over a 5-year horizon the model projects 34.11 (cumulative +136.6%).	14.3423	14.3144	14.3527	14.28	14.5223	14.6565	14.835	14.8978	15.7166	16.8691	20.3488	24.1727	28.7152	34.1113
AKER	The short-term (1-month) outlook for AKER is mildly bullish (+2.5% vs current price of 1032.00). At 6 months the model targets 1158.87 (+12.3%), a strongly bullish medium-term signal. The 1-year forecast stands at 1260.00 (+22.1%). Over a 5-year horizon the model projects 3290.15 (cumulative +218.8%).	1021.0538	1023.8597	1026.7253	1024.3162	1047.8219	1057.5752	1078.4364	1085.7678	1158.8661	1260.0034	1640.9447	2069.1933	2609.2049	3290.1471
AKBM	The short-term (1-month) outlook for AKBM is mildly bullish (+2.3% vs current price of 101.00). At 6 months the model targets 114.52 (+13.4%), a strongly bullish medium-term signal. The 1-year forecast stands at 122.70 (+21.5%). Over a 5-year horizon the model projects 354.81 (cumulative +251.3%).	100.048	100.0395	100.2738	100.8736	102.9781	103.3456	106.2894	106.4306	114.5221	122.7006	166.9526	214.649	275.9719	354.8139
AKRBP	The short-term (1-month) outlook for AKRBP is mildly bullish (+2.1% vs current price of 347.50). At 6 months the model targets 384.74 (+10.7%), a strongly bullish medium-term signal. The 1-year forecast stands at 416.15 (+19.8%). Over a 5-year horizon the model projects 961.83 (cumulative +176.8%).	344.4522	344.1572	346.5107	344.9927	351.8559	354.8769	359.9599	362.0574	384.7416	416.1542	522.1703	640.0897	784.6383	961.8297
AKH	The short-term (1-month) outlook for AKH is strongly bearish (-92.9% vs current price of 0.01). At 6 months the model targets 0.00 (-100.0%), a strongly bearish medium-term signal. The 1-year forecast stands at 0.02 (+58.7%). Over a 5-year horizon the model projects 0.13 (cumulative +907.9%).	0.0057	0.0087	0.0047	0.0176	0.0001	0.0009	0.0004	0.0	0.0	0.02	0.0317	0.0504	0.08	0.127
